TLA,Device,Network Port,Connector Type,VLAN NAME,VLAN TAG,IP Octet,IP ADDRESS,Gateway,GW Full,Mask,Mask Full,MAC Address,Switch ID,Switch Port,Switch/Port,Cable ID,Device Location,Switch Location,Serial #,Role,Bank,DL Check,NOTES
AAA00-02,Example Device,MGMT,RJ45 1G,Untagged,N/A,xxx,xxx.xxx.xxx.xxx,,,/24,255.255.255.0,,,,/,,,,,,,FALSE,"Example Schedule, do not delete."
ACT01-01,Actor Media Server - R-10 chassis,Bluefield_01,QSFP28,ST2110_4 (RED),RED,18,10.238.4.18,17,10.238.4.17,/29,255.255.255.248,,lvg-sph-rv-7s-lf01,Eth1/3/3,lvg-sph-rv-7s-lf01/Eth1/3/3,SM2.7003,C.55/26,C-55/44,734452102019,B1,A,TRUE,
ACT01-01,Actor Media Server - R-10 chassis,Bluefield_01_L,QSFP28,ST2110_4 (RED),RED,19,10.238.4.19,17,10.238.4.17,/29,255.255.255.248,,,,/,,C.55/26,,734452102019,B1,A,TRUE,
ACT01-01,Actor Media Server - R-10 chassis,Bluefield_01_M,QSFP28,Multicast_RED,N/A,32,233.40.10.32,,,,,,,,/,,C.55/26,,734452102019,B1,A,TRUE,
ACT01-01,Actor Media Server - R-10 chassis,Bluefield_02,QSFP28,ST2110_4 (BLU),BLU,18,10.239.4.18,17,10.239.4.17,/29,255.255.255.248,,lvg-sph-bv-7s-lf01,Eth1/3/3,lvg-sph-bv-7s-lf01/Eth1/3/3,SM2.7203,C.55/26,C-55/43,734452102019,B1,A,TRUE,
ACT01-01,Actor Media Server - R-10 chassis,Bluefield_02_L,QSFP28,ST2110_4 (BLU),BLU,19,10.239.4.19,17,10.239.4.17,/29,255.255.255.248,,,,/,,C.55/26,,734452102019,B1,A,TRUE,
ACT01-01,Actor Media Server - R-10 chassis,Bluefield_02_M,QSFP28,Multicast_BLU,N/A,32,233.140.10.32,,,,,,,,/,,C.55/26,,734452102019,B1,A,TRUE,
ACT01-01,Actor Media Server - R-10 chassis,Bluefield_MGMT,RJ45 1G,7thSense_Show_Control_3,52,32,10.241.210.32,1,10.241.208.1,/22,255.255.252.0,,,,/,,C.55/26,,734452102019,B1,A,TRUE,
ACT01-01,Actor Media Server - R-10 chassis,Onboard_01,RJ45 10G,7thSense_Show_Control_1,52,32,10.241.208.32,1,10.241.208.1,/22,255.255.252.0,,lvg-sph-fp-as05,Gig1/0/8,lvg-sph-fp-as05/Gig1/0/8,D6A.7008,C.55/26,C-54/40,734452102019,B1,A,TRUE,
ACT01-01,Actor Media Server - R-10 chassis,Onboard_02,RJ45 10G,7thSense_Show_Control_2,52,32,10.241.209.32,,,/22,255.255.252.0,,lvg-sph-fp-as11,Gig1/0/3,lvg-sph-fp-as11/Gig1/0/3,D6A.7303,C.55/26,C-35/45,734452102019,B1,A,TRUE,
ACT01-01,Actor Media Server - R-10 chassis,Storage_01,QSFP28,Media_Transfer_1,128,32,10.100.128.32,,,/23,255.255.254.0,,NET04-05,Eth1/9/2,NET04-05/Eth1/9/2,TEMP,C.55/26,C-75/38,734452102019,B1,A,TRUE,
ACT01-01,Actor Media Server - R-10 chassis,Storage_02,QSFP28,Media_Transfer_2,128,32,10.100.129.32,,,/23,255.255.254.0,,,,/,,C.55/26,,734452102019,B1,A,TRUE,
ACT01-02,Actor Media Server - R-10 chassis,Bluefield_01,QSFP28,ST2110_4 (RED),RED,34,10.238.4.34,33,10.238.4.33,/29,255.255.255.248,,lvg-sph-rv-7s-lf01,Eth1/4/1,lvg-sph-rv-7s-lf01/Eth1/4/1,SM2.7005,C.55/14,C-55/44,734452102015,B2,A,TRUE,
ACT01-02,Actor Media Server - R-10 chassis,Bluefield_01_L,QSFP28,ST2110_4 (RED),RED,35,10.238.4.35,33,10.238.4.33,/29,255.255.255.248,,,,/,,C.55/14,,734452102015,B2,A,TRUE,
ACT01-02,Actor Media Server - R-10 chassis,Bluefield_01_M,QSFP28,Multicast_RED,N/A,33,233.40.10.33,,,,,,,,/,,C.55/14,,734452102015,B2,A,TRUE,
ACT01-02,Actor Media Server - R-10 chassis,Bluefield_02,QSFP28,ST2110_4 (BLU),BLU,34,10.239.4.34,33,10.239.4.33,/29,255.255.255.248,,lvg-sph-bv-7s-lf01,Eth1/4/1,lvg-sph-bv-7s-lf01/Eth1/4/1,SM2.7205,C.55/14,C-55/43,734452102015,B2,A,TRUE,
ACT01-02,Actor Media Server - R-10 chassis,Bluefield_02_L,QSFP28,ST2110_4 (BLU),BLU,35,10.239.4.35,33,10.239.4.33,/29,255.255.255.248,,,,/,,C.55/14,,734452102015,B2,A,TRUE,
ACT01-02,Actor Media Server - R-10 chassis,Bluefield_02_M,QSFP28,Multicast_BLU,N/A,33,233.140.10.33,,,,,,,,/,,C.55/14,,734452102015,B2,A,TRUE,
ACT01-02,Actor Media Server - R-10 chassis,Bluefield_MGMT,RJ45 1G,7thSense_Show_Control_3,52,33,10.241.210.33,1,10.241.208.1,/22,255.255.252.0,,,,/,,C.55/14,,734452102015,B2,A,TRUE,
